Date,Open,High,Low,Close,Volume
2020-12-01 05:09,1.19575,1.1958,1.19574,1.19579,94
2020-12-01 05:10,1.19578,1.19581,1.19578,1.1958,27
2020-12-01 05:11,1.1958,1.1958,1.19575,1.19576,173
2020-12-01 05:12,1.19575,1.19576,1.1957,1.1957,55
2020-12-01 05:13,1.1957,1.19574,1.19569,1.19574,12
2020-12-01 05:14,1.19574,1.1958,1.19573,1.19575,70
2020-12-01 05:15,1.19575,1.19576,1.19573,1.19576,61
2020-12-01 05:16,1.19576,1.19576,1.19572,1.19573,119
2020-12-01 05:17,1.19573,1.19583,1.19573,1.19583,37
2020-12-01 05:18,1.19583,1.19583,1.19579,1.19583,9
2020-12-01 05:19,1.19584,1.19594,1.19584,1.19592,62
2020-12-01 05:20,1.19591,1.19592,1.1959,1.1959,71
2020-12-01 05:21,1.19591,1.19592,1.19588,1.19589,92
2020-12-01 05:22,1.19588,1.19591,1.19588,1.19589,65
2020-12-01 05:23,1.19588,1.1959,1.19578,1.19578,109
2020-12-01 05:24,1.19578,1.19579,1.19576,1.19577,54
2020-12-01 05:25,1.19579,1.19579,1.19569,1.19573,140
2020-12-01 05:26,1.19572,1.19582,1.19571,1.1958,155
2020-12-01 05:27,1.19579,1.1958,1.19569,1.19577,46
2020-12-01 05:28,1.19577,1.19578,1.19576,1.19576,106
2020-12-01 05:29,1.19577,1.19578,1.19568,1.19569,100
2020-12-01 05:30,1.1957,1.19571,1.19555,1.19555,252
2020-12-01 05:31,1.19555,1.19556,1.19551,1.19553,293
2020-12-01 05:32,1.19552,1.19562,1.19552,1.19562,188
2020-12-01 05:33,1.19562,1.19562,1.1956,1.19561,16
2020-12-01 05:34,1.19561,1.19562,1.19559,1.19561,44
2020-12-01 05:35,1.19559,1.19559,1.19553,1.19554,89
2020-12-01 05:36,1.19553,1.19562,1.19553,1.19562,26
2020-12-01 05:37,1.19561,1.19566,1.19559,1.19561,262
2020-12-01 05:38,1.19561,1.19562,1.19553,1.19557,218
2020-12-01 05:39,1.19557,1.1956,1.19555,1.19555,196
2020-12-01 05:40,1.19555,1.19565,1.19555,1.19564,83
2020-12-01 05:41,1.19563,1.19566,1.1956,1.19563,129
2020-12-01 05:42,1.19563,1.19564,1.19561,1.19564,26
2020-12-01 05:43,1.19564,1.19567,1.19562,1.19566,150
2020-12-01 05:44,1.19565,1.1957,1.19565,1.19566,107
2020-12-01 05:45,1.19565,1.19571,1.19565,1.19571,135
2020-12-01 05:46,1.1957,1.19572,1.19569,1.19572,41
2020-12-01 05:47,1.19572,1.19574,1.19572,1.19573,59
2020-12-01 05:48,1.19573,1.19575,1.19566,1.19566,75
2020-12-01 05:49,1.19565,1.19566,1.19562,1.19563,85
2020-12-01 05:50,1.19563,1.19564,1.19562,1.19563,99
2020-12-01 05:51,1.19563,1.19564,1.19563,1.19563,77
2020-12-01 05:52,1.19563,1.19567,1.19563,1.19567,73
2020-12-01 05:53,1.19567,1.19567,1.19558,1.1956,97
2020-12-01 05:54,1.19558,1.19563,1.19554,1.19563,109
2020-12-01 05:55,1.19562,1.19569,1.19561,1.19569,115
2020-12-01 05:56,1.19568,1.19572,1.19567,1.19567,122
2020-12-01 05:57,1.19566,1.19569,1.19561,1.19567,307
2020-12-01 05:58,1.19567,1.19573,1.19567,1.19568,150
2020-12-01 05:59,1.19568,1.1957,1.19565,1.19569,172
2020-12-01 06:00,1.19571,1.19571,1.19564,1.19566,122
2020-12-01 06:01,1.19566,1.19568,1.19561,1.19564,135
2020-12-01 06:02,1.19564,1.19564,1.1956,1.19562,68
2020-12-01 06:03,1.19563,1.19571,1.19561,1.1957,93
2020-12-01 06:04,1.19571,1.1958,1.19568,1.19579,133
2020-12-01 06:05,1.19579,1.19579,1.19571,1.19575,267
2020-12-01 06:06,1.19574,1.19577,1.19572,1.19572,114
2020-12-01 06:07,1.19572,1.19576,1.19572,1.19572,170
2020-12-01 06:08,1.19573,1.19573,1.19564,1.19569,157
2020-12-01 06:09,1.1957,1.1957,1.19562,1.19564,128
2020-12-01 06:10,1.19565,1.19573,1.19565,1.19573,22
2020-12-01 06:11,1.19573,1.19576,1.19572,1.19573,149
2020-12-01 06:12,1.19574,1.19577,1.19565,1.19565,176
2020-12-01 06:13,1.19563,1.19563,1.19561,1.19563,93
2020-12-01 06:14,1.19562,1.19573,1.19562,1.19573,84
2020-12-01 06:15,1.19572,1.19572,1.19565,1.19568,37
2020-12-01 06:16,1.19568,1.1957,1.19567,1.19568,32
2020-12-01 06:17,1.19567,1.1957,1.19564,1.19569,112
2020-12-01 06:18,1.1957,1.19572,1.1957,1.19571,71
2020-12-01 06:19,1.19572,1.19577,1.19572,1.19572,146
2020-12-01 06:20,1.19573,1.19576,1.19572,1.19574,128
2020-12-01 06:21,1.19573,1.19575,1.19572,1.19572,86
2020-12-01 06:22,1.19574,1.19577,1.19572,1.19573,93
2020-12-01 06:23,1.19572,1.19574,1.19566,1.19566,73
2020-12-01 06:24,1.19566,1.19566,1.19548,1.19549,263
2020-12-01 06:25,1.19549,1.19572,1.19549,1.19567,179
2020-12-01 06:26,1.19567,1.19573,1.19565,1.19573,148
2020-12-01 06:27,1.19572,1.19575,1.1957,1.19573,227
2020-12-01 06:28,1.19574,1.19582,1.19573,1.19582,159
2020-12-01 06:29,1.19582,1.19588,1.19581,1.19587,143
2020-12-01 06:30,1.19588,1.1959,1.19585,1.19589,202
2020-12-01 06:31,1.19588,1.19589,1.19585,1.19587,93
2020-12-01 06:32,1.19587,1.19587,1.19574,1.19574,226
2020-12-01 06:33,1.19571,1.19576,1.19571,1.19572,304
2020-12-01 06:34,1.19573,1.19583,1.19573,1.19583,206
2020-12-01 06:35,1.19583,1.19584,1.19579,1.19584,206
2020-12-01 06:36,1.19585,1.19586,1.19567,1.19568,203
2020-12-01 06:37,1.1957,1.19572,1.19567,1.19572,198
2020-12-01 06:38,1.19571,1.19572,1.19566,1.19568,129
2020-12-01 06:39,1.1957,1.19572,1.19564,1.19566,246
2020-12-01 06:40,1.19566,1.19568,1.19563,1.19568,128
2020-12-01 06:41,1.19567,1.1957,1.19566,1.19566,139
2020-12-01 06:42,1.19566,1.19566,1.19557,1.19557,379
2020-12-01 06:43,1.19557,1.19557,1.19547,1.19552,216
2020-12-01 06:44,1.19552,1.19553,1.19546,1.19553,133
